YYYY(기준연도)	IND_CLASS_ORDER(산업분류_차수)	ZONE_C(행정구역분류코드)	D_SEX(사업체_대표자성별)	D_AGE(사업체_대표자생년)	JOSIC_C(조직형태코드)	KUBUN_C(사업체구분코드)	CHANG_Y(설립연도)	CHANG_M(설립월)	SN1_B(산업세세분류)	EMP_JA_M(자영업자_남자)	EMP_JA_F(자영업자_여자)	EMP_JA(자영업자_계)	EMP_MU_M(무급가족종사자_남자)	EMP_MU_F(무급가족종사자_여자)	EMP_MU(무급가족종사자_계)	EMP_SA_M(상용종사자_남자)	EMP_SA_F(상용종사자_여자)	EMP_SA(상용종사자_계)	EMP_IM_M(임시일용종사자_남자)	EMP_IM_F(임시일용종사자_여자)	EMP_IM(임시일용종사자_계)	EMP_MO_M(무급종사자_남자)	EMP_MO_F(무급종사자_여자)	EMP_MO(무급종사자_계)	EMP_TO_M(T종사자_남자)	EMP_TO_F(T종사자_여자)	EMP_TO(T종사자_합계)
2013	9	1110059	1	1974	2	1	2012	7	75211	0	0	0	0	0	0	1	3	4	0	0	0	0	0	0	1	3	4
2013	9	1110059	1	1976	1	1	2012	5	95121	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1957	1	1	2012	4	56211	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1966	1	1	2012	6	58222	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1954	1	1	2012	8	85659	0	1	1	0	0	0	0	6	6	0	0	0	0	0	0	0	7	7
2013	9	1110059	2	1958	1	1	2012	8	87210	0	1	1	0	0	0	0	10	10	0	0	0	0	0	0	0	11	11
2013	9	1110059	2	1973	1	1	2012	10	96112	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	2	1974	1	1	2012	3	56220	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2
2013	9	1110059	1	1960	1	1	2012	8	68221	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1959	1	1	2012	8	47216	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	2	1961	1	1	2012	6	91223	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1961	1	1	2012	3	47416	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1961	4	1	2012	4	94912	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	2	0	2
2013	9	1110059	2	1971	1	1	2012	4	56219	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1939	4	1	2012	5	68212	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	2	1	3
2013	9	1110059	2	1968	1	1	2012	1	87210	0	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4
2013	9	1110059	2	1959	1	1	2012	8	87210	0	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4
2013	9	1110059	2	1973	1	1	2012	9	47129	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1973	1	1	2012	5	86902	0	1	1	0	0	0	1	1	2	0	2	2	0	0	0	1	4	5
2013	9	1110059	2	1975	1	1	2013	3	85620	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	1	1944	1	1	2012	5	47129	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1976	1	1	2013	3	87210	0	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4
2013	9	1110059	2	1959	1	1	2012	5	56219	0	1	1	0	0	0	1	2	3	0	0	0	0	0	0	1	3	4
2013	9	1110059	1	1957	1	1	2011	3	56212	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2
2013	9	1110059	2	1957	1	1	2013	3	56111	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1958	1	1	2005	3	85659	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1961	2	1	2012	8	46105	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	2
2013	9	1110059	1	1977	1	1	2012	7	66199	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1954	1	1	2012	11	75110	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1959	1	1	2012	1	96122	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1966	1	1	2012	1	68221	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1964	1	1	2001	4	96912	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1960	1	1	2012	7	47122	0	1	1	0	0	0	0	0	0	3	1	4	0	0	0	3	2	5
2013	9	1110059	2	1964	2	3	2012	5	47121	0	0	0	0	0	0	8	7	15	0	0	0	0	0	0	8	7	15
2013	9	1110059	2	1960	1	1	2012	8	47511	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1947	1	1	2012	7	47612	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	2	1	3
2013	9	1110059	2	1981	1	1	2012	5	87210	0	1	1	0	0	0	0	4	4	0	0	0	0	0	0	0	5	5
2013	9	1110059	1	1953	1	1	2005	7	49231	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	1	1954	1	1	2005	7	49231	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
